city,country,monthly_usd,source
san_francisco,usa,4500,Numbeo 2023 (single person excl. rent ~$1600 + avg rent $3000→ total)
new_york,usa,4200,Numbeo 2023
seattle,usa,3400,Numbeo 2023
boston,usa,3600,Numbeo 2023
austin,usa,2900,Numbeo 2023
chicago,usa,2700,Numbeo 2023
san_jose,usa,4000,Numbeo 2023
pittsburgh,usa,2200,Numbeo 2023
munich,germany,2300,Numbeo 2023 (EUR→USD at 1.09)
berlin,germany,2000,Numbeo 2023 (EUR→USD at 1.09)
hamburg,germany,2100,Numbeo 2023 (EUR→USD at 1.09)
toronto,canada,2600,Numbeo 2023 (CAD→USD at 0.74)
vancouver,canada,2900,Numbeo 2023 (CAD→USD at 0.74)
montreal,canada,2000,Numbeo 2023 (CAD→USD at 0.74)
london,uk,3400,Numbeo 2023 (GBP→USD at 1.27)
edinburgh,uk,2100,Numbeo 2023 (GBP→USD at 1.27)
manchester,uk,2000,Numbeo 2023 (GBP→USD at 1.27)
sydney,australia,2900,Numbeo 2023 (AUD→USD at 0.65)
melbourne,australia,2600,Numbeo 2023 (AUD→USD at 0.65)
bangalore,india,520,Numbeo 2023 (INR→USD at 83)
mumbai,india,720,Numbeo 2023 (INR→USD at 83)
hyderabad,india,470,Numbeo 2023 (INR→USD at 83)
singapore,singapore,3100,Numbeo 2023
amsterdam,netherlands,2400,Numbeo 2023 (EUR→USD at 1.09)
stockholm,sweden,2200,Numbeo 2023 (SEK→USD at 0.095)
